Customer Review,Emotion,word_count,cleaned_text,encoded_emotion
bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Happy,13,bagus berjalan baik dan cukup silent kokoh dan muat untuk laptop inch,2
"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Happy,9,packing aman pengiriman cepat dan barang berfungsi dengan baik,2
Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Happy,24,produknya baik dan kualitasny good banget produk sampai ke konsumen dalam kondisi baik sesuai sih sama harga juga so overall very good lah,2
barang udah sampai ya gan dan berfungsi. terima kasih,Happy,9,barang udah sampai ya gan dan berfungsi terima kasih,2
barang mantap sesuai deskripsi laptop jadi adem n sejuk,Happy,9,barang mantap sesuai deskripsi laptop jadi adem n sejuk,2
"produk saya terima dengan kondisi baik, terima kasih ^^",Happy,9,produk saya terima dengan kondisi baik terima kasih,2
"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Happy,11,belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,2
"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Happy,24,kualitas barang bagus harga relatif murah kiriman super cepat response penjual baik recommended seller bintang terima kasih yah semoga sukses usahanya aamiin,2
mantab barang nya oke punya,Happy,5,mantab barang nya oke punya,2
"pengiriman cepat, packing rapi, kualitas mantap",Happy,6,pengiriman cepat packing rapi kualitas mantap,2
silent dan bagus untuk pekerjaan ringan,Happy,6,silent dan bagus untuk pekerjaan ringan,2
Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Happy,14,barang cepat sampai kualitas bagus dan pengiriman aman tidak ada yang pecah manstapu,2
"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Happy,9,bagus berkualitas sesuai gbr makasih seller tokped dan kurir,2
"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Happy,8,mantap kipasnya kenceng barangnya berkualitas sesuai sama harga,2
mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Happy,10,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,2
Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Happy,18,penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu mantap lah,2
"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Happy,20,barang sampai dengan cepat packingnya rapi dan amat sekali tidak ada bagian acrylic yang pecah berfungsi dengan baik semoga awet,2
Sangat presisi dan pas,Happy,4,sangat presisi dan pas,2
"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Happy,12,puas banget seller helpfull sangat responsif dan cepet banget sampai nya recomended,2
"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Happy,14,mantappp responnya juga memuaskan sudah dicoba dan dipasang presisi dan nyaman cas juga responsif,2
Mantap barangnya cepet sampai dan enak digunainnya!,Happy,7,mantap barangnya cepet sampai dan enak digunainnya,2
"Barang bagus,oke, cepat pengirimannya juga",Happy,5,barang bagusoke cepat pengirimannya juga,2
"Pengiriman cepat, seller responsif ??",Happy,5,pengiriman cepat seller responsif,2
Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Happy,18,barang berfungsi baik pemilik toko sangat responsif dan membantu saat ada sedikit kendala sukses tokonya ya gan,2
"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Happy,16,seller luar biasa packing baik pengiriman cepat penting nya barang sesuai deskripsi dan berfungsi terima kasih,2
Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Sadness,8,sangat kecewa baru bulan scroll sudah rusak,4
"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Sadness,57,jelek yg pasti jauh dari ori mousepad jd ga bs dipakai kl di charger jd getar parah barang ga sesui foto kayak barang lapak sebelah yg harga rban padahal sebelumnya pernah beli disini dan baguspersis spt foto yg ada indikator di ujung charger makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya,4
gak bisa di pakai??,Sadness,4,gak bisa di pakai,4
Kecewa parah nggk berkah jualan gitu,Sadness,6,kecewa parah nggk berkah jualan gitu,4
kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Sadness,9,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,4
"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Sadness,51,pas beli nanya dulu tipe untuk macbook pro inch m yang mana di variasi nya kata penjualnya yang �new pro � pas dateng casing kekecilan karena salah tipe ternyata dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual kecewa gamau lagi beli disini ga tanggung jawab,4
Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Sadness,13,barang sampai terlalu lama padahal masih dalam kota casing mudah lepas jujur mengecewakan,4
"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Sadness,11,kecewa belanja di tempat kamu lain di pesan lain dikirim,4
"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Sadness,12,tidak ada tissue pembersih atau alat bantuan lainnya untuk memasang sangat kecewa,4
"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Sadness,16,salah beli barang tp toko tidak ada kompromi sama sekali padahal barang masih disegel kecewa dehhh,4
Data sering error dan hilang ??,Sadness,6,data sering error dan hilang,4
"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Sadness,95,kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal dan pickup barang sama kurir lebih dari hari proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal jam malem paketnya sampe,4
"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Sadness,15,packing seadanya bubble hanya selapis saja ditambah lapisan plastik hasilnya barang diterima dalam keadaan patah,4
Mic dari awal ga nyala,Sadness,5,mic dari awal ga nyala,4
"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Sadness,15,kartu sd nya cuma gb katanya official tapi malah mksofficial kecewa ini tidak original,4
Kecepatan tdk sesuai dgn deskripsi,Sadness,5,kecepatan tdk sesuai dgn deskripsi,4
tidak berfugsi,Sadness,2,tidak berfugsi,4
"Mouse kurang bagus , Pointer nya gerak gerak sendiri .",Sadness,10,mouse kurang bagus pointer nya gerak gerak sendiri,4
infra red nya jelek suka mental ke mana2,Sadness,8,infra red nya jelek suka mental ke mana,4
Batre tidak sesuai ukuran dan tidak ada nano receiver.,Sadness,9,batre tidak sesuai ukuran dan tidak ada nano receiver,4
boros batre,Sadness,2,boros batre,4
barang error 1,Sadness,3,barang error,4
"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Sadness,15,jaringanya ngelek banget lelet mending pake indihome de nyesel juga beli orbit jaringan ya parah,4
tdk sesuai ekspektasi,Sadness,3,tdk sesuai ekspektasi,4
Katanya dapat paket 150 GB ternyata setelah di regiatrasi cm 300 mB..,Sadness,12,katanya dapat paket gb ternyata setelah di regiatrasi cm mb,4
"tidak bisa di register call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit call center Dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka Dan no Telp suruh cari di google bukannya tidak mau Cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal Saya beli orbit",Sadness,92,tidak bisa di register call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit,4
Tidak sesuai,Sadness,2,tidak sesuai,4
"janji bisa kirim instant segera karena kita mau pakai segera, nyatanya anda tutup toko baru di kirim. paket sampai malam. pas besoknya di coba ternyata SSD nya tidak terbaca. dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru. sama2 di Tangerang ongkos gojek instant 33rb berarti dekat. dan tidak di kirim2 sampaiiii 2 minggu baru di kirim. sangat terlihat sengaja sekali di lama2in. sangat tidak professional dalam berjualan online , anda jual barang rusak pun tidak ada etikat ucapan maaf. dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai. kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari...",Sadness,122,janji bisa kirim instant segera karena kita mau pakai segera nyatanya anda tutup toko baru di kirim paket sampai malam pas besoknya di coba ternyata ssd nya tidak terbaca dan bilangnya kirim ke toko agarnbisa di kirim lagi segera yang baru sama di tangerang ongkos gojek instant rb berarti dekat dan tidak di kirim sampaiiii minggu baru di kirim sangat terlihat sengaja sekali di lamain sangat tidak professional dalam berjualan online anda jual barang rusak pun tidak ada etikat ucapan maaf dan sebagai penutup yang saya anggap licik dan pelit sekali ongkir nya di suruh kita yang tanggung pas barang sampai kalau di lihat begini mah lupakan garansi produk yg bakal di ganti baru bila terjadi rusak di kemudian hari,4
"beli 2 SSD, 1 diterima dalam kondisi rusak",Sadness,8,beli ssd diterima dalam kondisi rusak,4
"tidak berfungsi, tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa",Sadness,16,tidak berfungsi tapi yaa sudahlah sudah ditambah daya pakai mikro usb cas hp tetap tidak bisa,4
kurang bagus... colok hardisk external tdk terdeteksi..,Sadness,7,kurang bagus colok hardisk external tdk terdeteksi,4
"Produk kurang baik, dan rusak",Sadness,5,produk kurang baik dan rusak,4
"untuk kualitas ternyata sama dengan merk China lain 1080p juga yang harga nya 300rb an, bahkan lebih bagus merk lain di 600rb an. lalu untuk pengiriman lambat sekali dari official store, pesan tgl 27, sampai tgl 1, sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp. cukup kecewa dengan produk dan pelayanan Logitech. kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya, tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa.",Sadness,90,untuk kualitas ternyata sama dengan merk china lain p juga yang harga nya rb an bahkan lebih bagus merk lain di rb an lalu untuk pengiriman lambat sekali dari official store pesan tgl sampai tgl sehingga saya tdk sempat menggunakan pada zoom meeting dan harus memakai hp cukup kecewa dengan produk dan pelayanan logitech kalau utk keyboard nya dan mouse nya emang cukup bagus bbrp model nya tapi sy kapok beli disini karena barang akan hanya di proses bbrp jam sblm pembatalan walaupun pesan nya di hari biasa,4
"pengiriman 2 hari terlambat. padahal bilang bakal lgsg dikirim. habis order di chat lgsg ga respon. utk official store brand segede logitech, sungguh mengecewakan.",Sadness,24,pengiriman hari terlambat padahal bilang bakal lgsg dikirim habis order di chat lgsg ga respon utk official store brand segede logitech sungguh mengecewakan,4
mousenya kurang responsif. jd harus teken agak kuat,Sadness,8,mousenya kurang responsif jd harus teken agak kuat,4
baru pake 2 bulan sensornya udah jelek suka kemana2,Sadness,9,baru pake bulan sensornya udah jelek suka kemana,4
"belom 1 bulan udah gak nyala, baterai udah diganti tetap saja gak nyala. kecewa, udah 2x di kerjain logitech",Sadness,19,belom bulan udah gak nyala baterai udah diganti tetap saja gak nyala kecewa udah x di kerjain logitech,4
"Sangat mengecewakan, barang yg dikirim tidak sesuai konfirmasi, sampai harus bolak-balik 2 kali, saya harus nanggung 6 X ongkos kirim....SANGAT MENGECEWAKAN",Anger,21,sangat mengecewakan barang yg dikirim tidak sesuai konfirmasi sampai harus bolakbalik kali saya harus nanggung x ongkos kirimsangat mengecewakan,0
"Kualitas chargeran jelek bangettt, baru tiga Hari pakai sudah rusakk",Anger,10,kualitas chargeran jelek bangettt baru tiga hari pakai sudah rusakk,0
"Pelayanan toko jelek, proses barang lambat, di chat tidak menjawab, barang rata-rata",Anger,12,pelayanan toko jelek proses barang lambat di chat tidak menjawab barang ratarata,0
"Barang Rusak , Ga Guna Sama Sekali ... Parah",Anger,9,barang rusak ga guna sama sekali parah,0
"cepet rusak, kadang konek kadang engga",Anger,6,cepet rusak kadang konek kadang engga,0
"barang gajelas lama sampai, kotak penyok�",Anger,6,barang gajelas lama sampai kotak penyok�,0
"SETELAH DICEK TIDAK UTUH 32GB. KOK BISA YA???!!.. KEMANA SISA 3GB NYA MAS/MBA???KRN LAGI BUTUH, YAUDAHLAH CUKUP TAU BELI DISINI. PERTAMA DAN TERAKHIR BELI DISINI.",Anger,25,setelah dicek tidak utuh gb kok bisa ya kemana sisa gb nya masmbakrn lagi butuh yaudahlah cukup tau beli disini pertama dan terakhir beli disini,0
Pesanan Saya TIDAK SAMPAI KE ALAMAT!!! SAYA MAU UANG SAYA KEMBALI!! SAYA BELUM MENERIMA PESANAN SAYA,Anger,16,pesanan saya tidak sampai ke alamat saya mau uang saya kembali saya belum menerima pesanan saya,0
beli kemasan baru di kirim kemasan lama ! BINTANG 1 KON%TL,Anger,11,beli kemasan baru di kirim kemasan lama bintang kontl,0
"ANJING TERNYATA PALSU INI BARANG BANGSAT2 AWAS KETIPU OI, YANG ASLI ADA SEGEL DISTRIBUTOR NYA",Anger,15,anjing ternyata palsu ini barang bangsat awas ketipu oi yang asli ada segel distributor nya,0
BARANG KW JANGAN BELI DISINI,Anger,5,barang kw jangan beli disini,0
barang bosok! sekali Pake rusak.. mau claim dijawab berbelit ama adminnya,Anger,11,barang bosok sekali pake rusak mau claim dijawab berbelit ama adminnya,0
"Chat tidak di balas, Kuota yang di janjikan 50gb nya tidak masuk, hancur la Parah parah",Anger,16,chat tidak di balas kuota yang di janjikan gb nya tidak masuk hancur la parah parah,0
GA DIKASIH ADAPTOR GEPENG NYA. KETIPU SAYA,Anger,7,ga dikasih adaptor gepeng nya ketipu saya,0
jir sehari pake udah rusak :( quality control dong yg bener ahelah,Anger,12,jir sehari pake udah rusak quality control dong yg bener ahelah,0
"Ini gmn, ssd nya gak bisa di pake.... Sy minta ganti...",Anger,11,ini gmn ssd nya gak bisa di pake sy minta ganti,0
"beli mahal2, malah sering tiba2 ngeblur kalau dipakai zoom. terus menghubungi CS nya, suruh klaim garansi aja, minta alamat ga dikasih2. hadeuhh, webcam 1 jutaan kualitas sampah.",Anger,27,beli mahal malah sering tiba ngeblur kalau dipakai zoom terus menghubungi cs nya suruh klaim garansi aja minta alamat ga dikasih hadeuhh webcam jutaan kualitas sampah,0
tidak sesuai gambar.... Janggan percaya ama Seller ini penipu..... kualitas jelek.....,Anger,11,tidak sesuai gambar janggan percaya ama seller ini penipu kualitas jelek,0
"tolong pengiriman punya rasa tanggung jawab, ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah",Anger,26,tolong pengiriman punya rasa tanggung jawab ini paket habis berenang di comberan mana dan gak yakin isinya apakah masih bisa di pakai atau masuk bak sampah,0
l2 r2 trigger nya ampas macam ***,Anger,7,l r trigger nya ampas macam,0
"Barang SAMPAH ini tidak seharusnya dikirimkan ke alamat saya, akan tetapi di TONG SAMPAH. Sangat MENGECEWAKAN, admin TIDAK MERESPON SAMA SEKALI CHAT SAYA. lihat barang yg dikirimkan, ada dead pixel, LALU LAYAR MONITORNYA KEBALIK. SANGAT MENGECEWAKAN. catatan buat teman-teman yg ingin beli, monitor ini tidak ada audio/speakernya, kualitas layar juga kurang baik. Jika ada rejeki lebih, belilah dengan merek yg bagus. SAYA SANGAT MENYESAL BELANJA DI SINI. SAYA TIDAK MEREKOMENDASIKAN BELANJA DISINI.",Anger,72,barang sampah ini tidak seharusnya dikirimkan ke alamat saya akan tetapi di tong sampah sangat mengecewakan admin tidak merespon sama sekali chat saya lihat barang yg dikirimkan ada dead pixel lalu layar monitornya kebalik sangat mengecewakan catatan buat temanteman yg ingin beli monitor ini tidak ada audiospeakernya kualitas layar juga kurang baik jika ada rejeki lebih belilah dengan merek yg bagus saya sangat menyesal belanja di sini saya tidak merekomendasikan belanja disini,0
"TidAk jujur dan kelihatan kalau memaksakan barang terjual. Barang dikirim tidak sesuai pesanan. Dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak, dengan resiko barang yg di foto/ ditawarkan memang sebenarnya mungkin tidak ada.",Anger,39,tidak jujur dan kelihatan kalau memaksakan barang terjual barang dikirim tidak sesuai pesanan dan akhirnya pembeli disuruh mengirim barang yg tidak ada solusi barang ada atau tidak dengan resiko barang yg di foto ditawarkan memang sebenarnya mungkin tidak ada,0
"Beli tgl 9. Pesanan Selesai tgl 12 dan....mouse rusak tgl 13 gak bisa komplain dari toped lagi. admin ditanyain gmna cara klaim garansi SANGAT TIDAK MEMBANTU, chat hari ini bales besok.da dibales gk di jawab2 lagi",Anger,36,beli tgl pesanan selesai tgl danmouse rusak tgl gak bisa komplain dari toped lagi admin ditanyain gmna cara klaim garansi sangat tidak membantu chat hari ini bales besokda dibales gk di jawab lagi,0
"GUA BELI DAPETNYA V2, DI DESC GADA PENJELASAN MENGENAI VERSI, BAGUSAN V1 APALAGI RGBNYA RGB V2 BENER BENER CUMA RED GREEN BLUE SISA WARNANYA GAGUNA SWITCH PULLER GADAPET RGB REDUP PULA NGGA ADA PEMBERITAHUAN MENGENAI VERSI KEYBOARDNYA BENER2 KECEWA KAPOK BELI DA Ambil ae v*rt*x v7 tuh bagus drpd ini kecewa mau gua jual lagi pokoknya",Anger,56,gua beli dapetnya v di desc gada penjelasan mengenai versi bagusan v apalagi rgbnya rgb v bener bener cuma red green blue sisa warnanya gaguna switch puller gadapet rgb redup pula ngga ada pemberitahuan mengenai versi keyboardnya bener kecewa kapok beli da ambil ae vrtx v tuh bagus drpd ini kecewa mau gua jual lagi pokoknya,0
"Belanja dari Official Store, kondisi barang diterima seperti sampah dan barang rongsokan. Terima kasih.",Anger,14,belanja dari official store kondisi barang diterima seperti sampah dan barang rongsokan terima kasih,0
Ngaco banget pesen mouse tapi gak lengkap. Gak ada penutup batre sama bluetoothnya,Anger,13,ngaco banget pesen mouse tapi gak lengkap gak ada penutup batre sama bluetoothnya,0
Barang emang harga aslinya sekitar 55 an tapi seller sok sok an bikin diskon yg dari 99rb di diskon 59rb.Olshop emang keras,Anger,22,barang emang harga aslinya sekitar an tapi seller sok sok an bikin diskon yg dari rb di diskon rbolshop emang keras,0
"salah beli gabisa dituker, pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot. tai",Anger,20,salah beli gabisa dituker pas di coba ternyata gabisa pas ditanya ini klaim garansi gimana yang bales malah bot tai,0
"sangat tidak puas, baik produknya dan pelayanannya, barang cacat, pada kondisi tertutup saya, mejanya tidak bisa menutup rapat, itu dikarenakan pemasangan engselnya tidak sejajar (1 tinggi, 1 pendek, ini yg menyebabkan listnya sobek, krn dipaksa saat menutup daun mejanya. jadi fix nya ini cacat pabrik bukan masalah pengiriman. dan ternyata komplain ga diterima oleh toko penjual, suruh hubungi sendiri ke kurirnya.",Anger,61,sangat tidak puas baik produknya dan pelayanannya barang cacat pada kondisi tertutup saya mejanya tidak bisa menutup rapat itu dikarenakan pemasangan engselnya tidak sejajar tinggi pendek ini yg menyebabkan listnya sobek krn dipaksa saat menutup daun mejanya jadi fix nya ini cacat pabrik bukan masalah pengiriman dan ternyata komplain ga diterima oleh toko penjual suruh hubungi sendiri ke kurirnya,0
Quality barang jelek. baut lepas terus,Anger,6,quality barang jelek baut lepas terus,0
BANYAKK RUSAKK DAN LECET NYAAAA !!!!,Anger,6,banyakk rusakk dan lecet nyaaaa,0
"barang pesan 2 yang dateng 1 bayar harga 2 yg dateng 1 makasih ... ga ush dibuktikan ,cek aja pengeluaran barang nya -baru cek pembeli jgn pembeli yang ditanya2 unboxing ga terlalu penting abis2in quota",Anger,35,barang pesan yang dateng bayar harga yg dateng makasih ga ush dibuktikan cek aja pengeluaran barang nya baru cek pembeli jgn pembeli yang ditanya unboxing ga terlalu penting abisin quota,0
"keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa ,memang lebih murah dari toko lain ,barang tdk bisa sama saja bohong",Anger,25,keyboard tdk nyala sama sekali padahal baterai baru dicoba beberapa kali tdk bisa memang lebih murah dari toko lain barang tdk bisa sama saja bohong,0
barang rusak di kirim,Anger,4,barang rusak di kirim,0
"Gak bener nih, harusnya yang dateng tuh meja utuh, malah baut2 gak terpasang, dan baut2nya kecil banget... mau dilem ?? ngaco nih ****** !",Anger,24,gak bener nih harusnya yang dateng tuh meja utuh malah baut gak terpasang dan bautnya kecil banget mau dilem ngaco nih,0
driver ngaco bukan tokonya. barang ok. itu smart namanya bengak. gua kasih puas komen jg lu. bintang satunya buat driver. *****,Anger,21,driver ngaco bukan tokonya barang ok itu smart namanya bengak gua kasih puas komen jg lu bintang satunya buat driver,0
kecewa lah.gk ada penyelesaian.di chat kg di bls di wa kg di bls. lari gitu aj sampah.,Anger,17,kecewa lahgk ada penyelesaiandi chat kg di bls di wa kg di bls lari gitu aj sampah,0
"Barang dikirim salah, pesan webcam logitech di logitech official kok bs dikirimmya headphone JBL! Dan penukaran barang butuh 4hari kerja! Sungguh lama",Anger,22,barang dikirim salah pesan webcam logitech di logitech official kok bs dikirimmya headphone jbl dan penukaran barang butuh hari kerja sungguh lama,0
Bagus banget keyboardnya. Packing sangat aman karena double kardus. Warna juga keren.,Love,12,bagus banget keyboardnya packing sangat aman karena double kardus warna juga keren,3
"AAAA BAGUS BANGET PENGIRIMANNYA CEPATT DAN AMAN JUGA PACKAGING NYA, BISA NYALA JUGA TDI UDH DICOBA,, BELI DGN HARGA RP0 SENENGGGBANGETT",Love,21,aaaa bagus banget pengirimannya cepatt dan aman juga packaging nya bisa nyala juga tdi udh dicoba beli dgn harga rp senengggbangett,3
"Terima Kasihh Boss, Mantappss.. Smoga Lancarr n Berkah Rezekinya..Smngttt Boss ??????",Love,11,terima kasihh boss mantappss smoga lancarr n berkah rezekinyasmngttt boss,3
barangnya buwaguusss.... sesuai pesanan.... angin nya kencang... seperti angin puting beliung.... laptop ademmmm benerrr,Love,14,barangnya buwaguusss sesuai pesanan angin nya kencang seperti angin puting beliung laptop ademmmm benerrr,3
"mantap bgt, kualitas beneran sama kaya webcam sejutaan",Love,8,mantap bgt kualitas beneran sama kaya webcam sejutaan,3
"sampai dengan selamat, mulus dan berfungsi sempurna. Seller mau sabar dikonsultasikan dan mengemas dengan aman. Recommended",Love,16,sampai dengan selamat mulus dan berfungsi sempurna seller mau sabar dikonsultasikan dan mengemas dengan aman recommended,3
"Proses pesanan dan pengiriman barang cukup cepat, produk sesuai deskripsi, seller responsif, sukses dan tetap jaga protokol kesehatan ya seller! Terima kasih.",Love,22,proses pesanan dan pengiriman barang cukup cepat produk sesuai deskripsi seller responsif sukses dan tetap jaga protokol kesehatan ya seller terima kasih,3
"Penjual ramah, barangnya bagus, sesuai dgn pesanan, packing rapi, padahal cmn pesan 1 ??????????....",Love,14,penjual ramah barangnya bagus sesuai dgn pesanan packing rapi padahal cmn pesan,3
